Area,Addetti_2019,Addetti_2025,Localizzazioni_2019,Localizzazioni_2025,Var_Addetti,Var_Perc_Addetti,Dim_Media_2019,Dim_Media_2025,Peso_2019,Peso_2025
Centro,3684176,4067784,1323939,1293466,383608,10.412314721120815,2.782738479642944,3.1448712219725916,20.397568597527638,20.50332798578683
Nord,9957123,10697041,2976387,3009588,739918,7.431042079122655,3.345372426367942,3.5543207242984756,55.127957900632374,53.91754825241682
Sud,4420540,5074803,2042431,2117764,654263,14.80052210815873,2.1643521861938053,2.396302420855204,24.474473501839984,25.57912376179634
